MC_no,Time,Color,MC_TEMPERATURE,STEP_NUMBER_RHS,STEP_NUMBER_LHS,PROD_TYPE_RHS,PROD_TYPE_LHS,Time_to_cut_off,Idle_Alarm,Current Condition,Last Input Time,Last Change To,Input1,Input2,Input3,Time_log
MC69_L,0,green,175.2,,2,,TYPE_9,,0,,,,,,,25-08-2024
MC69_R,0,green,175.2,2,,TYPE_2,,,0,,,,,,,25-08-2024
MC7,0,green,175.2,2,2,TYPE_6,TYPE_6,,0,,,,,,,25-08-2024
MC70_L,0,green,175.2,,2,,TYPE_9,,0,,,,,,,25-08-2024
MC70_R,0,green,175.2,2,,TYPE_2,,,0,,,,,,,25-08-2024
MC71_L,0,green,175.2,,2,,TYPE_9,,0,,,,,,,25-08-2024
MC71_R,0,green,175.2,2,,TYPE_2,,,0,,,,,,,25-08-2024
MC72_L,0,green,175.2,,2,,TYPE_9,,0,,,,,,,25-08-2024
MC72_R,0,green,175.2,2,,TYPE_2,,,0,,,,,,,25-08-2024
MC73_L,0,green,175.2,,2,,TYPE_9,,0,,,,,,,25-08-2024
MC73_R,0,green,175.2,2,,TYPE_2,,,0,,,,,,,25-08-2024
MC74_L,0,green,175.2,,2,,TYPE_9,,0,,,,,,,25-08-2024
MC74_R,0,green,175.2,4,,TYPE_2,,,0,,,,,,,25-08-2024
MC75_L,0,#C76666,100.42,,0,,TYPE_0,,1,,,,,,,25-08-2024
MC75_R,0,#C76666,102.33,0,,TYPE_0,,,1,,,,,,,25-08-2024
MC76_L,0,grey,,,,,,,,,,,,,,25-08-2024
MC76_R,0,grey,,,,,,,,,,,,,,25-08-2024
MC77_L,0,grey,,,,,,,,,,,,,,25-08-2024
MC77_R,0,grey,,,,,,,,,,,,,,25-08-2024
MC78_L,0,grey,,,,,,,,,,,,,,25-08-2024
MC78_R,0,grey,,,,,,,,,,,,,,25-08-2024
MC79_L,0,grey,,,,,,,,,,,,,,25-08-2024
MC79_R,0,grey,,,,,,,,,,,,,,25-08-2024
MC8,0,green,175.2,1,2,TYPE_6,TYPE_6,,0,,,,,,,25-08-2024
MC81_L,0,grey,,,,,,,,,,,,,,25-08-2024
MC81_R,0,grey,,,,,,,,,,,,,,25-08-2024
MC82_L,0,grey,,,,,,,,,,,,,,25-08-2024
MC82_R,0,grey,,,,,,,,,,,,,,25-08-2024
MC80_L,0,grey,,,,,,,,,,,,,,25-08-2024
MC80_R,0,grey,,,,,,,,,,,,,,25-08-2024
MC83_L,0,green,175.2,,4,,TYPE_8,,0,,,,,,,25-08-2024
MC83_R,25-08-2024 11:58,green,170,0,,TYPE_6,,25-08-2024 12:23,0,,,,,,,25-08-2024
MC84_L,25-08-2024 11:58,green,165,,0,,TYPE_9,25-08-2024 12:23,0,,,,,,,25-08-2024
MC84_R,25-08-2024 11:58,green,169,0,,TYPE_3,,25-08-2024 12:23,0,,,,,,,25-08-2024
MC85_L,25-08-2024 11:58,green,169.67,,0,,TYPE_9,25-08-2024 12:23,0,,,,,,,25-08-2024
MC85_R,25-08-2024 11:58,green,170,0,,TYPE_2,,25-08-2024 12:23,0,,,,,,,25-08-2024
MC9,0,green,175.2,2,2,TYPE_6,TYPE_6,,0,,,,,,,25-08-2024
